time [s], azimuth [degrees], elevation [degrees]
1755295890.417563, 159.61072554490553, 6.631012264267037, 
1755295891.1580398, 159.6059089526807, 6.69428398897545, 
1755295891.898516, 159.60105681981594, 6.75775252152145, 
1755295892.6389918, 159.5961688508508, 6.821419378119432, 
1755295893.379469, 159.59124473430379, 6.885286088097788, 
1755295894.1199448, 159.5862841860824, 6.94935393670155, 
1755295894.860421, 159.58128689357227, 7.01362448090046, 
1755295895.6008978, 159.57625254915223, 7.078099293725852, 
1755295896.341374, 159.571180850685, 7.142779699556506, 
1755295897.0818498, 159.56607147640523, 7.207667298740738, 
1755295897.822327, 159.56092410631152, 7.272763707519162, 
1755295898.5628028, 159.5557384292884, 7.338070292051877, 
1755295899.303279, 159.55051411731242, 7.403588697564915, 
1755295900.043756, 159.5452508364194, 7.469320585245835, 
1755295900.784232, 159.53994826400194, 7.5352673640631265, 
1755295901.524709, 159.5346060569843, 7.601430815327429, 
1755295902.2651849, 159.5292238866375, 7.667812377700965, 
1755295903.005661, 159.5238013998166, 7.734413773498078, 
1755295903.7461379, 159.51833825234888, 7.801236743576005, 
1755295904.486614, 159.51283410216377, 7.8682827719133455, 
1755295905.22709, 159.50728858644925, 7.93555363002608, 
1755295905.967567, 159.50170134477094, 8.003051107597376, 
1755295906.7080429, 159.496072023343, 8.070776735960994, 
1755295907.448519, 159.49040025141954, 8.138732337692062, 
1755295908.1889958, 159.48468565392224, 8.206919753389974, 
1755295908.929472, 159.47892786486233, 8.275340563418625, 
1755295909.6699479, 159.47312650511358, 8.343996643142603, 
1755295910.410425, 159.4672811710729, 8.412889884495389, 
1755295911.1509008, 159.46139150619663, 8.482021921025547, 
1755295911.891378, 159.45545709105764, 8.551394774134577, 
1755295912.6318538, 159.44947754928043, 8.621010110972781, 
1755295913.37233, 159.44345246912954, 8.690869897217928, 
1755295914.1128068, 159.43738143727492, 8.760976118979205, 
1755295914.853283, 159.431264059261, 8.8313304967819, 
1755295915.5937588, 159.42509991004414, 8.901935054026433, 
1755295916.334236, 159.41888856396696, 8.972791835208122, 
1755295917.0747118, 159.41262961119273, 9.043902616656691, 
1755295917.815188, 159.4063226082549, 9.11526948093102, 
1755295918.555665, 159.3999671153602, 9.18689453307298, 
1755295919.296141, 159.3935627089085, 9.258779607412212, 
1755295920.036618, 159.38710892546575, 9.330926946466573, 
1755295920.777094, 159.38060532655982, 9.40333842381864, 
1755295921.51757, 159.37405145236167, 9.47601622745398, 
1755295922.2580469, 159.36744682585746, 9.548962566720814, 
1755295922.998523, 159.36079100394934, 9.622179378131584, 
1755295923.738999, 159.3540835007645, 9.69566891415033, 
1755295924.479476, 159.34732382553622, 9.769433450866428, 
1755295925.2199519, 159.34051151724995, 9.843474988584015, 
1755295925.960428, 159.33364606883617, 9.91779584735165, 
1755295926.7009048, 159.32672697966095, 9.992398373053332, 
1755295927.441381, 159.3197537618752, 10.06728463114249, 
1755295928.1818569, 159.31272589914505, 10.14245701334181, 
1755295928.922334, 159.30564286393846, 10.217917935847671, 
1755295929.6628098, 159.29850415577368, 10.29366953370779, 
1755295930.403287, 159.2913092221544, 10.369714373737299, 
1755295931.1437628, 159.2840575557439, 10.446054638858312, 
1755295931.884239, 159.27674859803992, 10.5226928429852, 
1755295932.6247158, 159.26938179284815, 10.599631527934523, 
1755295933.365192, 159.26195660586436, 10.676872949039502, 
1755295934.1056678, 159.25447246234867, 10.754419698455168, 
1755295934.846145, 159.24692878367082, 10.83227439659559, 
1755295935.5866208, 159.2393250122559, 10.910439374517741, 
1755295936.327097, 159.23166055857874, 10.988917305907218, 
1755295937.0675738, 159.2239348145424, 11.067710892078724, 
1755295937.80805, 159.21614720549024, 11.14682254339971, 
1755295938.5485258, 159.20829711167835, 11.22625501655474, 
1755295939.289003, 159.20038390882922, 11.30601109843452, 
1755295940.0294788, 159.1924069956993, 11.386093280941392, 
1755295940.7699559, 159.18436572110494, 11.466504516917006, 
1755295941.510432, 159.1762594641981, 11.547247354206181, 
1755295942.250908, 159.1680875728794, 11.628324697081544, 
1755295942.991385, 159.15984937280214, 11.709739479992269, 
1755295943.7318609, 159.15154422668525, 11.791494339217795, 
1755295944.472337, 159.143171450211, 11.873592270734187, 
1755295945.2128139, 159.13473034976025, 11.956036303619928, 
1755295945.95329, 159.12622025204575, 12.038829163600791, 
1755295946.6937659, 159.11764044769996, 12.121973943114602, 
1755295947.434243, 159.1089902201539, 12.205473769011515, 
1755295948.1747189, 159.10026886978287, 12.289331461505455, 
1755295948.915196, 159.0914756452155, 12.373550326574946, 
1755295949.6556718, 159.0826098251465, 12.458133248949414, 
1755295950.396148, 159.0736706588699, 12.543083490260893, 
1755295951.1366248, 159.06465736628815, 12.628404346476302, 
1755295951.877101, 159.0555692074112, 12.714098804141, 
1755295952.6175768, 159.04640538887398, 12.800170229890332, 
1755295953.358054, 159.03716510871283, 12.886622028524574, 
1755295954.0985298, 159.02784758908274, 12.973457290432247, 
1755295954.839006, 159.01845200362402, 13.060679492485614, 
1755295955.5794828, 159.00897751546194, 13.148292151390619, 
1755295956.319959, 158.99942331995265, 13.236298466726085, 
1755295957.0604348, 158.989788550796, 13.324702029770735, 
1755295957.800912, 158.98007234092623, 13.413506473962176, 
1755295958.5413878, 158.97027383782572, 13.502715110318201, 
1755295959.281865, 158.96039214059883, 13.59233177246062, 
1755295960.022341, 158.95042637489647, 13.682359849557367, 
1755295960.762817, 158.94037561871886, 13.772803134930065, 
1755295961.503294, 158.93023894054076, 13.863665465968596, 
1755295962.24377, 158.92001543034073, 13.954950352685202, 
1755295962.984246, 158.90970412617617, 14.046661715529787, 
1755295963.7247229, 158.8993040505923, 14.138803520182394, 
1755295964.465199, 158.88881425580405, 14.231379402333332, 
1755295965.205675, 158.87823374164478, 14.324393415259097, 
1755295965.946152, 158.86756148775498, 14.417849658552615, 
1755295966.6866279, 158.85679649576454, 14.511751897366803, 
1755295967.427104, 158.84593773166176, 14.60610432385512, 
1755295968.1675808, 158.8349841190919, 14.700911175562105, 
1755295968.908057, 158.82393462531127, 14.79617635457916, 
1755295969.6485338, 158.81278814353965, 14.891904324367488, 
1755295970.38901, 158.80154360160324, 14.988099079366018, 
1755295971.1294858, 158.7901998750998, 15.084765051816225, 
1755295971.869963, 158.7787558196755, 15.181906725817571, 
1755295972.6104388, 158.76721031234865, 15.279528240565822, 
1755295973.350915, 158.75556217992272, 15.377634181276973, 
1755295974.0913918, 158.74381022281833, 15.476229186279662, 
1755295974.831868, 158.73195326844632, 15.57531754596128, 
1755295975.5723438, 158.71999008364375, 15.674904003562556, 
1755295976.312821, 158.7079194187419, 15.774993358921416, 
1755295977.0532968, 158.69574004438027, 15.875590059219858, 
1755295977.793774, 158.68345065854913, 15.97669915038343, 
1755295978.5342498, 158.67104998898503, 16.078325187120118, 
1755295979.274726, 158.65853671285097, 16.1804731924644, 
1755295980.015203, 158.64590947215768, 16.283148247829008, 
1755295980.755679, 158.6331669405558, 16.386355076597596, 
1755295981.4961548, 158.62030773039166, 16.49009887780168, 
1755295982.2366319, 158.60733040749122, 16.594384910138356, 
1755295982.977108, 158.59423360346585, 16.6992180742987, 
1755295983.717584, 158.58101583923764, 16.804603749649704, 
1755295984.458061, 158.56767563736966, 16.910547384000207, 
1755295985.1985369, 158.55421153534937, 17.017054056314063, 
1755295985.939013, 158.54062199671796, 17.124129338540268, 
1755295986.6794899, 158.52690546543448, 17.23177887103974, 
1755295987.419966, 158.51306041034417, 17.34000792226959, 
1755295988.1604428, 158.4990852015069, 17.448822410150605, 
1755295988.900919, 158.4849782609749, 17.558227733948137, 
1755295989.6413949, 158.47073791731148, 17.66822979984197, 
1755295990.381872, 158.4563624855717, 17.778834588401548, 
1755295991.1223478, 158.44185029981574, 17.89004769962306, 
1755295991.862824, 158.4271996117664, 18.00187525268926, 
1755295992.6033008, 158.41240864932197, 18.114323442494964, 
1755295993.343777, 158.39747565461934, 18.22739807841779, 
1755295994.0842528, 158.3823988033043, 18.341105501778127, 
1755295994.82473, 158.36717621265421, 18.455452128195503, 
1755295995.5652058, 158.35180605257878, 18.57044398815159, 
1755295996.305682, 158.33628638415018, 18.686087649544667, 
1755295997.0461588, 158.32061524825474, 18.802389763022564, 
1755295997.786635, 158.3047906992576, 18.91935658405904, 
1755295998.527112, 158.2888106885933, 19.036995079860286, 
1755295999.267588, 158.27267320344816, 19.15531166273543, 
1755296000.0080638, 158.25637615022518, 19.274313305371628, 
1755296000.7485409, 158.2399173734503, 19.394007063420275, 
1755296001.489017, 158.22329476529853, 19.51439959390624, 
1755296002.229493, 158.20650610390283, 19.635498121488062, 
1755296002.96997, 158.1895491318939, 19.757309961609657, 
1755296003.710446, 158.17242161929406, 19.87984202254984, 
1755296004.450922, 158.1551212280926, 20.003101794056757, 
1755296005.1913989, 158.1376455712452, 20.127096858413807, 
1755296005.931875, 158.11999230089853, 20.251834387133243, 
1755296006.6723518, 158.1021589194967, 20.37732231355882, 
1755296007.412828, 158.08414298849672, 20.50356798953027, 
1755296008.1533039, 158.06594194511257, 20.630579367605588, 
1755296008.893781, 158.0475531834194, 20.758364500619855, 
1755296009.6342568, 158.0289741243192, 20.886931019730838, 
1755296010.374733, 158.01020206203742, 21.016287170414454, 
1755296011.1152098, 157.9912342363625, 21.146441300745654, 
1755296011.855686, 157.97206792720615, 21.27740133369492, 
1755296012.5961618, 157.95270027072482, 21.409175817863392, 
1755296013.336639, 157.93312834966883, 21.54177340945662, 
1755296014.0771148, 157.91334928264303, 21.675202332601675, 
1755296014.817591, 157.89336003465976, 21.809471450562373, 
1755296015.5580678, 157.87315752981917, 21.944589740387226, 
1755296016.298544, 157.85273870197787, 22.080565737354323, 
1755296017.039021, 157.83210032123552, 22.217408818564813, 
1755296017.779497, 157.81123920651038, 22.355127735526544, 
1755296018.5199728, 157.79015202637729, 22.493731904303676, 
1755296019.26045, 157.7688353795931, 22.63323085862993, 
1755296020.000926, 157.74728589985935, 22.773633683432042, 
1755296020.741402, 157.72550005104537, 22.914950141787767, 
1755296021.481879, 157.7034742306834, 23.057190119521007, 
1755296022.222355, 157.68120485211458, 23.200363044353377, 
1755296022.9628308, 157.6586881692772, 23.344479039815802, 
1755296023.7033079, 157.6359203574619, 23.489548355833595, 
1755296024.443784, 157.61289760523084, 23.635580776578184, 
1755296025.18426, 157.5896159381241, 23.78258679882746, 
1755296025.924737, 157.56607128319678, 23.93057704768703, 
1755296026.6652129, 157.54225959337623, 24.07956167729251, 
1755296027.40569, 157.51817659551372, 24.22955177023992, 
1755296028.1461658, 157.4938180771593, 24.380557734686978, 
1755296028.886642, 157.46917961520762, 24.53259071313764, 
1755296029.6271188, 157.44425670990975, 24.68566198898224, 
1755296030.367595, 157.41904484973176, 24.839782356297135, 
1755296031.1080709, 157.39353934772848, 24.994963367292073, 
1755296031.848548, 157.36773539531424, 25.151216713759126, 
1755296032.5890238, 157.3416281946321, 25.30855359321627, 
1755296033.3295, 157.31521273743397, 25.46698597534313, 
1755296034.0699768, 157.2884839033405, 25.62652597596329, 
1755296034.810453, 157.26143656146246, 25.787185205053085, 
1755296035.5509298, 157.23406533521185, 25.94897628367171, 
1755296036.291406, 157.20636486625926, 26.11191110478843, 
1755296037.0318818, 157.17832957330856, 26.27600236429155, 
1755296037.772359, 157.14995374128821, 26.441262910333624, 
1755296038.5128348, 157.12123163279415, 26.60770506818825, 
1755296039.253311, 157.0921572954598, 26.77534198774354, 
1755296039.993788, 157.062724598317, 26.944186969242825, 
1755296040.734264, 157.0329274261812, 27.11425278713011, 
1755296041.4747398, 157.0027593785921, 27.285553049179065, 
1755296042.2152169, 156.97221391497115, 27.45810152617277, 
1755296042.955693, 156.94128446694768, 27.631911445250054, 
1755296043.696169, 156.90996418027467, 27.806996888363436, 
1755296044.436646, 156.87824604348324, 27.983372103221793, 
1755296045.1771219, 156.84612301203572, 28.16105078273358, 
1755296045.917599, 156.8135876727967, 28.340047731393124, 
1755296046.6580749, 156.78063266238553, 28.520376961337, 
1755296047.398551, 156.7472502399627, 28.70205335904158, 
1755296048.1390278, 156.71343253479452, 28.88509199219844, 
1755296048.879504, 156.67917158166296, 29.06950734298406, 
1755296049.6199799, 156.64445909623674, 29.255314801132624, 
1755296050.360457, 156.60928658932818, 29.442529930005087, 
1755296051.1009328, 156.57364550010897, 29.63116769829712, 
1755296051.841409, 156.53752690399006, 29.821243998103522, 
1755296052.5818858, 156.50092165579423, 30.012774897098883, 
1755296053.322362, 156.46382052796477, 30.20577585312636, 
1755296054.0628378, 156.42621390209865, 30.400263265919335, 
1755296054.803315, 156.38809191081174, 30.596253710823664, 
1755296055.5437908, 156.34944458967644, 30.793763135801047, 
1755296056.284268, 156.31026151248423, 30.992808721860055, 
1755296057.0247438, 156.27053217593482, 31.19340674252675, 
1755296057.76522, 156.23024564444722, 31.39557444554407, 
1755296058.505697, 156.1893906987346, 31.599329256036846, 
1755296059.246173, 156.1479559785151, 31.804687936766623, 
1755296059.9866488, 156.10592965136098, 32.011668241963896, 
1755296060.727126, 156.06329956698494, 32.22028809997083, 
1755296061.467602, 156.0200534030106, 32.43056475440294, 
1755296062.208078, 155.97617834516836, 32.64251646003639, 
1755296062.948555, 155.9316612073588, 32.85616164003292, 
1755296063.689031, 155.8864886170398, 33.07151801005706, 
1755296064.429508, 155.8406466031783, 33.28860460857453, 
1755296065.1699839, 155.79412102301083, 33.507439457186564, 
1755296065.91046, 155.74689715651868, 33.72804161366965, 
1755296066.6509368, 155.69895985360256, 33.950430296723574, 
1755296067.391413, 155.65029373576473, 34.174623975550894, 
1755296068.1318889, 155.6008827714001, 34.40064216464997, 
1755296068.872366, 155.55071046276342, 34.62850453425505, 
1755296069.6128418, 155.4997600231288, 34.858229969570836, 
1755296070.353318, 155.44801398227003, 35.08983842012531, 
1755296071.0937948, 155.39545430567452, 35.32334997170765, 
1755296071.834271, 155.34206269169906, 35.55878390494642, 
1755296072.5747468, 155.28782000730854, 35.79616055864838, 
1755296073.315224, 155.23270657623883, 36.0355004124448, 
1755296074.0556998, 155.1767023168024, 36.27682308502221, 
1755296074.796177, 155.11978622723345, 36.52014960582346, 
1755296075.5366528, 155.0619369699745, 36.765499801652425, 
