time [ms], azimuth [degrees], elevation [degrees]
1753913050.002862, 351.65856235765085, 10.904498717531604, 
1753913057.331934, 351.339974333964, 10.165498837006037, 
1753913064.661007, 351.0411390661727, 9.45258271511317, 
1753913071.990079, 350.76041135021995, 8.763887867562353, 
1753913079.319152, 350.4963224229957, 8.097713571836401, 
1753913086.648224, 350.2475574453077, 7.4525058198722, 
1753913093.977297, 350.01293579645807, 6.8268423625648875, 
1753913101.306369, 349.79139477245394, 6.2194206293946985, 
1753913108.635442, 349.5819751290607, 5.629045569276373, 
1753913115.964514, 349.38380910399775, 5.054620020680804, 
1753913123.293587, 349.19610965897994, 4.495134839339848, 
1753913130.622659, 349.01816155927867, 3.949661249033335, 
1753913137.951732, 348.8493132505799, 3.417342809598235, 
1753913145.280804, 348.6889701482677, 2.8973893529590553, 
1753913152.609877, 348.53658841935044, 2.389070421576633, 
1753913159.938949, 348.39166987083894, 1.8917104626729304, 
1753913167.268022, 348.2537571430927, 1.404683440958346, 
1753913174.597094, 348.1224297755973, 0.9274090308479476, 
1753913181.926167, 347.99730044371046, 0.45934816385794164, 
